station id, station name, valid,dež
_1801,LJUBLJANA - DOBRUNJE,2022-08-01,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-02,da
_1801,LJUBLJANA - DOBRUNJE,2022-08-03,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-04,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-05,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-06,da
_1801,LJUBLJANA - DOBRUNJE,2022-08-07,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-08,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-09,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-10,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-11,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-12,da
_1801,LJUBLJANA - DOBRUNJE,2022-08-13,da
_1801,LJUBLJANA - DOBRUNJE,2022-08-14,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-15,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-16,da
_1801,LJUBLJANA - DOBRUNJE,2022-08-17,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-18,da
_1801,LJUBLJANA - DOBRUNJE,2022-08-19,da
_1801,LJUBLJANA - DOBRUNJE,2022-08-20,da
_1801,LJUBLJANA - DOBRUNJE,2022-08-21,da
_1801,LJUBLJANA - DOBRUNJE,2022-08-22,da
_1801,LJUBLJANA - DOBRUNJE,2022-08-23,da
_1801,LJUBLJANA - DOBRUNJE,2022-08-24,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-25,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-26,ne
_1801,LJUBLJANA - DOBRUNJE,2022-08-27,da
_1801,LJUBLJANA - DOBRUNJE,2022-08-28,da
_1801,LJUBLJANA - DOBRUNJE,2022-08-29,da
_1801,LJUBLJANA - DOBRUNJE,2022-08-30,da
_1801,LJUBLJANA - DOBRUNJE,2022-08-31,da
_1801,LJUBLJANA - DOBRUNJE,2022-09-01,da
_1801,LJUBLJANA - DOBRUNJE,2022-09-02,ne
_1801,LJUBLJANA - DOBRUNJE,2022-09-03,ne
_1801,LJUBLJANA - DOBRUNJE,2022-09-04,da
_1801,LJUBLJANA - DOBRUNJE,2022-09-05,ne
_1801,LJUBLJANA - DOBRUNJE,2022-09-06,ne
_1801,LJUBLJANA - DOBRUNJE,2022-09-07,ne
_1801,LJUBLJANA - DOBRUNJE,2022-09-08,da
_1801,LJUBLJANA - DOBRUNJE,2022-09-09,da
_1801,LJUBLJANA - DOBRUNJE,2022-09-10,da
_1801,LJUBLJANA - DOBRUNJE,2022-09-11,ne
_1801,LJUBLJANA - DOBRUNJE,2022-09-12,ne
_1801,LJUBLJANA - DOBRUNJE,2022-09-13,ne
_1801,LJUBLJANA - DOBRUNJE,2022-09-14,ne
_1801,LJUBLJANA - DOBRUNJE,2022-09-15,da
_1801,LJUBLJANA - DOBRUNJE,2022-09-16,da
_1801,LJUBLJANA - DOBRUNJE,2022-09-17,da
_1801,LJUBLJANA - DOBRUNJE,2022-09-18,ne
_1801,LJUBLJANA - DOBRUNJE,2022-09-19,da
_1801,LJUBLJANA - DOBRUNJE,2022-09-20,da
_1801,LJUBLJANA - DOBRUNJE,2022-09-21,ne
_1801,LJUBLJANA - DOBRUNJE,2022-09-22,ne
_1801,LJUBLJANA - DOBRUNJE,2022-09-23,ne
_1801,LJUBLJANA - DOBRUNJE,2022-09-24,ne
_1801,LJUBLJANA - DOBRUNJE,2022-09-25,da
_1801,LJUBLJANA - DOBRUNJE,2022-09-26,da
_1801,LJUBLJANA - DOBRUNJE,2022-09-27,da
_1801,LJUBLJANA - DOBRUNJE,2022-09-28,da
_1801,LJUBLJANA - DOBRUNJE,2022-09-29,da
_1801,LJUBLJANA - DOBRUNJE,2022-09-30,da
_1801,LJUBLJANA - DOBRUNJE,2022-10-01,da